,,bac,csi,f05,f1s,f2s,fnr,fom,fpr,inf,mcc,mk,npv,ppv,tnr,tpr,thr
LIPNet,DP04020,0.428,0.428,0.789,0.599,0.483,0.572,1.0,,,0.0,0.0,0.0,1.0,,0.428,0.5
LIPNet,DP04022,0.565,0.134,0.162,0.236,0.436,0.0,0.0,0.87,0.13,0.132,0.134,1.0,0.134,0.13,1.0,0.5
LIPNet,DP04023,0.765,0.375,0.439,0.546,0.719,0.087,0.036,0.384,0.529,0.432,0.353,0.964,0.389,0.616,0.913,0.5
LIPNet,DP04024,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP04026,0.398,0.015,0.02,0.029,0.059,0.818,0.044,0.386,-0.204,-0.075,-0.028,0.956,0.016,0.614,0.182,0.5
LIPNet,DP04027,0.493,0.028,0.036,0.054,0.112,0.6,0.031,0.413,-0.013,-0.005,-0.002,0.969,0.029,0.587,0.4,0.5
LIPNet,DP04028,0.361,0.111,0.167,0.2,0.248,0.705,0.364,0.574,-0.279,-0.244,-0.213,0.636,0.151,0.426,0.295,0.5
LIPNet,DP04029,0.418,0.081,0.111,0.15,0.23,0.642,0.17,0.522,-0.164,-0.111,-0.075,0.83,0.095,0.478,0.358,0.5
LIPNet,DP04030,0.677,0.17,0.227,0.29,0.403,0.457,0.046,0.189,0.354,0.232,0.152,0.954,0.198,0.811,0.543,0.5
LIPNet,DP04032,0.775,0.498,0.608,0.664,0.732,0.215,0.103,0.236,0.549,0.51,0.473,0.897,0.576,0.764,0.785,0.5
LIPNet,DP04033,0.245,0.197,0.28,0.329,0.397,0.538,0.933,0.972,-0.51,-0.588,-0.678,0.067,0.255,0.028,0.462,0.5
LIPNet,DP04035,0.777,0.071,0.087,0.133,0.276,0.0,0.0,0.446,0.554,0.198,0.071,1.0,0.071,0.554,1.0,0.5
LIPNet,DP04036,0.523,0.122,0.155,0.218,0.365,0.333,0.109,0.622,0.045,0.03,0.021,0.891,0.13,0.378,0.667,0.5
LIPNet,DP04038,0.774,0.068,0.084,0.127,0.267,0.0,0.0,0.452,0.548,0.193,0.068,1.0,0.068,0.548,1.0,0.5
LIPNet,DP04040,0.814,0.133,0.161,0.235,0.434,0.0,0.0,0.371,0.629,0.289,0.133,1.0,0.133,0.629,1.0,0.5
LIPNet,DP04042,0.116,0.005,0.007,0.012,0.027,0.818,0.321,0.949,-0.767,-0.492,-0.315,0.679,0.006,0.051,0.182,0.5
LIPNet,DP04044,0.554,0.158,0.198,0.274,0.443,0.245,0.106,0.647,0.108,0.081,0.061,0.894,0.167,0.353,0.755,0.5
LIPNet,DP04045,0.623,0.142,0.174,0.249,0.439,0.108,0.036,0.646,0.246,0.164,0.109,0.964,0.145,0.354,0.892,0.5
LIPNet,DP04046,0.638,0.133,0.167,0.236,0.401,0.25,0.047,0.474,0.276,0.16,0.093,0.953,0.14,0.526,0.75,0.5
LIPNet,DP04051,0.314,0.007,0.01,0.014,0.027,0.933,0.083,0.438,-0.371,-0.167,-0.075,0.917,0.008,0.562,0.067,0.5
LIPNet,DP04052,0.814,0.027,0.034,0.053,0.122,0.0,0.0,0.372,0.628,0.13,0.027,1.0,0.027,0.628,1.0,0.5
LIPNet,DP04055,0.384,0.0,0.0,0.0,0.0,1.0,0.036,0.233,-0.233,-0.092,-0.036,0.964,0.0,0.767,0.0,0.5
LIPNet,DP04056,0.376,0.034,0.067,0.065,0.063,0.938,0.333,0.311,-0.249,-0.257,-0.265,0.667,0.068,0.689,0.062,0.5
LIPNet,DP04057,0.474,0.071,0.119,0.133,0.152,0.833,0.148,0.218,-0.051,-0.043,-0.037,0.852,0.111,0.782,0.167,0.5
LIPNet,DP04058,0.802,0.242,0.285,0.39,0.615,0.0,0.0,0.397,0.603,0.382,0.242,1.0,0.242,0.603,1.0,0.5
LIPNet,DP04059,0.369,0.0,0.0,0.0,0.0,1.0,0.069,0.261,-0.261,-0.134,-0.069,0.931,0.0,0.739,0.0,0.5
LIPNet,DP04060,0.491,0.058,0.073,0.111,0.223,0.3,0.065,0.719,-0.019,-0.01,-0.005,0.935,0.06,0.281,0.7,0.5
LIPNet,DP04062,0.857,0.041,0.051,0.079,0.176,0.0,0.0,0.286,0.714,0.171,0.041,1.0,0.041,0.714,1.0,0.5
LIPNet,DP04063,0.889,0.406,0.462,0.577,0.768,0.014,0.003,0.208,0.778,0.562,0.405,0.997,0.408,0.792,0.986,0.5
LIPNet,DP04064,0.067,0.067,0.264,0.126,0.082,0.933,1.0,,,0.0,0.0,0.0,1.0,,0.067,0.5
LIPNet,DP04065,0.775,0.389,0.492,0.561,0.651,0.27,0.063,0.18,0.55,0.464,0.392,0.937,0.455,0.82,0.73,0.5
LIPNet,DP04066,0.768,0.074,0.091,0.138,0.285,0.0,0.0,0.465,0.535,0.198,0.074,1.0,0.074,0.535,1.0,0.5
LIPNet,DP04068,0.755,0.393,0.447,0.564,0.764,0.0,0.0,0.489,0.511,0.448,0.393,1.0,0.393,0.511,1.0,0.5
LIPNet,DP04072,0.1,0.1,0.357,0.182,0.122,0.9,1.0,,,0.0,0.0,0.0,1.0,,0.1,0.5
LIPNet,DP04084,0.851,0.172,0.206,0.294,0.509,0.0,0.0,0.299,0.701,0.347,0.172,1.0,0.172,0.701,1.0,0.5
LIPNet,DP04087,0.843,0.059,0.073,0.111,0.236,0.056,0.001,0.259,0.685,0.199,0.058,0.999,0.059,0.741,0.944,0.5
LIPNet,DP04089,0.729,0.112,0.136,0.201,0.387,0.0,0.0,0.542,0.458,0.227,0.112,1.0,0.112,0.458,1.0,0.5
LIPNet,DP04090,0.833,0.256,0.301,0.408,0.632,0.0,0.0,0.335,0.665,0.413,0.256,1.0,0.256,0.665,1.0,0.5
LIPNet,DP04091,0.655,0.099,0.121,0.179,0.348,0.062,0.012,0.627,0.311,0.165,0.087,0.988,0.099,0.373,0.938,0.5
LIPNet,DP04092,0.564,0.144,0.181,0.253,0.42,0.25,0.089,0.622,0.128,0.09,0.063,0.911,0.152,0.378,0.75,0.5
LIPNet,DP04096,0.338,0.0,0.0,0.0,0.0,1.0,0.091,0.324,-0.324,-0.171,-0.091,0.909,0.0,0.676,0.0,0.5
LIPNet,DP04097,0.103,0.135,0.261,0.237,0.217,0.794,1.0,1.0,-0.794,-0.756,-0.72,0.0,0.28,0.0,0.206,0.5
LIPNet,DP04102,0.792,0.142,0.171,0.249,0.453,0.0,0.0,0.416,0.584,0.288,0.142,1.0,0.142,0.584,1.0,0.5
LIPNet,DP04103,0.689,0.168,0.202,0.288,0.502,0.0,0.0,0.623,0.377,0.252,0.168,1.0,0.168,0.377,1.0,0.5
LIPNet,DP04110,0.594,0.206,0.251,0.342,0.538,0.13,0.08,0.682,0.188,0.158,0.133,0.92,0.213,0.318,0.87,0.5
LIPNet,DP04118,0.456,0.223,0.298,0.365,0.472,0.413,0.345,0.676,-0.089,-0.085,-0.08,0.655,0.265,0.324,0.587,0.5
LIPNet,DP04122,0.702,0.123,0.149,0.219,0.412,0.0,0.0,0.596,0.404,0.223,0.123,1.0,0.123,0.404,1.0,0.5
LIPNet,DP04125,0.512,0.25,0.294,0.4,0.625,0.0,0.0,0.977,0.023,0.076,0.25,1.0,0.25,0.023,1.0,0.5
LIPNet,DP04126,0.716,0.035,0.043,0.067,0.15,0.167,0.005,0.401,0.432,0.114,0.03,0.995,0.035,0.599,0.833,0.5
LIPNet,DP04127,0.704,0.462,0.56,0.632,0.725,0.197,0.148,0.395,0.408,0.39,0.373,0.852,0.521,0.605,0.803,0.5
LIPNet,DP04128,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP04130,0.518,0.238,0.281,0.384,0.61,0.0,0.0,0.964,0.036,0.093,0.238,1.0,0.238,0.036,1.0,0.5
LIPNet,DP04131,0.654,0.188,0.235,0.316,0.483,0.256,0.063,0.436,0.308,0.207,0.138,0.937,0.201,0.564,0.744,0.5
LIPNet,DP04132,0.711,0.455,0.514,0.626,0.801,0.016,0.018,0.562,0.422,0.431,0.441,0.982,0.459,0.438,0.984,0.5
LIPNet,DP04133,0.402,0.246,0.305,0.395,0.559,0.226,0.778,0.971,-0.197,-0.318,-0.513,0.222,0.265,0.029,0.774,0.5
LIPNet,DP04134,0.655,0.655,0.905,0.792,0.704,0.345,1.0,,,0.0,0.0,0.0,1.0,,0.655,0.5
LIPNet,DP04139,0.256,0.027,0.084,0.052,0.038,0.968,0.842,0.52,-0.488,-0.586,-0.702,0.158,0.14,0.48,0.032,0.5
LIPNet,DP04140,0.768,0.192,0.229,0.322,0.543,0.0,0.0,0.464,0.536,0.321,0.192,1.0,0.192,0.536,1.0,0.5
LIPNet,DP04141,0.782,0.782,0.947,0.878,0.818,0.218,1.0,,,0.0,0.0,0.0,1.0,,0.782,0.5
LIPNet,DP04142,0.708,0.259,0.337,0.412,0.528,0.349,0.067,0.236,0.415,0.312,0.234,0.933,0.301,0.764,0.651,0.5
LIPNet,DP04144,0.772,0.383,0.472,0.554,0.67,0.222,0.061,0.233,0.545,0.448,0.369,0.939,0.43,0.767,0.778,0.5
LIPNet,DP04145,0.753,0.333,0.41,0.5,0.641,0.21,0.057,0.283,0.507,0.396,0.309,0.943,0.366,0.717,0.79,0.5
LIPNet,DP04148,0.37,0.37,0.746,0.54,0.423,0.63,1.0,,,0.0,0.0,0.0,1.0,,0.37,0.5
LIPNet,DP04149,0.557,0.263,0.385,0.416,0.453,0.518,0.266,0.369,0.113,0.106,0.1,0.734,0.366,0.631,0.482,0.5
LIPNet,DP04151,0.495,0.495,0.831,0.662,0.551,0.505,1.0,,,0.0,0.0,0.0,1.0,,0.495,0.5
LIPNet,DP04152,0.282,0.162,0.284,0.279,0.274,0.729,0.724,0.707,-0.436,-0.437,-0.436,0.276,0.288,0.293,0.271,0.5
LIPNet,DP04153,0.404,0.404,0.772,0.575,0.459,0.596,1.0,,,0.0,0.0,0.0,1.0,,0.404,0.5
LIPNet,DP04154,0.561,0.561,0.865,0.719,0.615,0.439,1.0,,,0.0,0.0,0.0,1.0,,0.561,0.5
LIPNet,DP04155,0.726,0.286,0.348,0.445,0.616,0.171,0.052,0.377,0.452,0.338,0.252,0.948,0.304,0.623,0.829,0.5
LIPNet,DP04156,0.329,0.115,0.17,0.205,0.26,0.683,0.429,0.659,-0.342,-0.308,-0.277,0.571,0.152,0.341,0.317,0.5
LIPNet,DP04157,0.46,0.052,0.07,0.1,0.177,0.639,0.079,0.442,-0.081,-0.041,-0.021,0.921,0.058,0.558,0.361,0.5
LIPNet,DP04158,0.25,0.0,0.0,0.0,0.0,1.0,0.153,0.5,-0.5,-0.277,-0.153,0.847,0.0,0.5,0.0,0.5
LIPNet,DP04159,0.393,0.393,0.764,0.564,0.447,0.607,1.0,,,0.0,0.0,0.0,1.0,,0.393,0.5
LIPNet,DP04160,0.5,0.198,0.236,0.331,0.552,0.0,1.0,1.0,0.0,0.0,-0.802,0.0,0.198,0.0,1.0,0.5
LIPNet,DP04161,0.638,0.638,0.898,0.779,0.688,0.362,1.0,,,0.0,0.0,0.0,1.0,,0.638,0.5
LIPNet,DP04163,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP04164,0.291,0.072,0.216,0.135,0.098,0.917,0.861,0.5,-0.417,-0.458,-0.502,0.139,0.359,0.5,0.083,0.5
LIPNet,DP04165,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP04166,0.922,0.2,0.238,0.333,0.556,0.0,0.0,0.156,0.844,0.411,0.2,1.0,0.2,0.844,1.0,0.5
LIPNet,DP04167,0.692,0.438,0.631,0.609,0.588,0.425,0.242,0.19,0.385,0.395,0.405,0.758,0.647,0.81,0.575,0.5
LIPNet,DP04169,0.618,0.117,0.143,0.209,0.391,0.073,0.023,0.692,0.235,0.149,0.095,0.977,0.118,0.308,0.927,0.5
LIPNet,DP04170,0.594,0.119,0.144,0.213,0.403,0.0,0.0,0.812,0.188,0.149,0.119,1.0,0.119,0.188,1.0,0.5
LIPNet,DP04171,0.525,0.525,0.847,0.689,0.58,0.475,1.0,,,0.0,0.0,0.0,1.0,,0.525,0.5
LIPNet,DP04172,0.652,0.439,0.673,0.61,0.558,0.472,0.404,0.225,0.303,0.311,0.319,0.596,0.723,0.775,0.528,0.5
LIPNet,DP04173,0.526,0.228,0.42,0.371,0.333,0.689,0.398,0.259,0.052,0.057,0.063,0.602,0.461,0.741,0.311,0.5
LIPNet,DP04174,0.632,0.33,0.441,0.496,0.567,0.374,0.191,0.362,0.264,0.241,0.22,0.809,0.411,0.638,0.626,0.5
LIPNet,DP04175,0.503,0.165,0.287,0.283,0.279,0.723,0.283,0.271,0.006,0.006,0.006,0.717,0.289,0.729,0.277,0.5
LIPNet,DP04176,0.605,0.123,0.155,0.22,0.376,0.286,0.057,0.504,0.21,0.124,0.073,0.943,0.13,0.496,0.714,0.5
LIPNet,DP04177,0.79,0.79,0.95,0.883,0.825,0.21,1.0,,,0.0,0.0,0.0,1.0,,0.79,0.5
LIPNet,DP04178,0.206,0.011,0.016,0.022,0.034,0.946,0.315,0.641,-0.587,-0.42,-0.301,0.685,0.014,0.359,0.054,0.5
LIPNet,DP04179,0.538,0.157,0.224,0.271,0.345,0.578,0.154,0.347,0.075,0.059,0.046,0.846,0.2,0.653,0.422,0.5
LIPNet,DP04180,0.217,0.18,0.259,0.305,0.372,0.565,1.0,1.0,-0.565,-0.657,-0.765,0.0,0.235,0.0,0.435,0.5
LIPNet,DP04182,0.31,0.156,0.256,0.271,0.287,0.701,0.618,0.678,-0.379,-0.375,-0.371,0.382,0.247,0.322,0.299,0.5
LIPNet,DP04183,0.513,0.223,0.264,0.365,0.589,0.0,0.0,0.973,0.027,0.077,0.223,1.0,0.223,0.027,1.0,0.5
LIPNet,DP04184,0.5,0.275,0.322,0.431,0.655,0.0,1.0,1.0,0.0,0.0,-0.725,0.0,0.275,0.0,1.0,0.5
LIPNet,DP04185,0.456,0.315,0.382,0.479,0.642,0.171,0.538,0.918,-0.089,-0.134,-0.201,0.462,0.337,0.082,0.829,0.5
LIPNet,DP04186,0.5,0.576,0.629,0.731,0.872,0.0,1.0,1.0,0.0,0.0,-0.424,0.0,0.576,0.0,1.0,0.5
LIPNet,DP04187,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP04188,0.828,0.147,0.177,0.256,0.463,0.0,0.0,0.345,0.655,0.311,0.147,1.0,0.147,0.655,1.0,0.5
LIPNet,DP04189,0.617,0.146,0.194,0.256,0.375,0.455,0.07,0.311,0.234,0.151,0.097,0.93,0.167,0.689,0.545,0.5
LIPNet,DP04190,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP04191,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP04192,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP04193,1.0,1.0,1.0,1.0,1.0,0.0,1.0,,,0.0,0.0,0.0,1.0,,1.0,0.5
LIPNet,DP04195,0.107,0.082,0.13,0.152,0.184,0.786,1.0,1.0,-0.786,-0.833,-0.882,0.0,0.118,0.0,0.214,0.5
